URL,Question,Follows,Answers
https://answers.yahoo.com/question/index?qid=20100802084437AAEixwf,Should I justify my cover letter?,1,2
https://au.answers.yahoo.com/question/index?qid=20100723074700AAJGCyK,How do you know if you should be admitted to a mental hospital (inpatient or outpatient)?,0," How do you know if you should be admitted to a mental hospital (inpatient or outpatient)? 
Please don't say 'see a psychiatrist', because I know that.  
--> What I'm asking is how bad does your current state have to be? How old do you have to be for them to really consider it? Can you give me an example of the lowest level case they would admit into a mental hospital?  
Basically, I'm asking for any information you can provide(: 
Thank youx"
https://au.answers.yahoo.com/question/index?qid=20070719171425AAsXirQ,SIX FLAGS- What exactly should i take n wear?,1,8
https://nz.answers.yahoo.com/question/index?qid=20090314175642AA76T8c,How much water should my 10 month old be drinking?,1," My daughter is starting to lose interest in her breast feed in the middle of the day, so I still offer and sometimes she drinks for 5 minutes and other times 30 secs.  I am trying to keep up the water and she periodically sips it but often just pushes the cup away.  How much water should a 10 month old be taking in to 'substitute' this breastfeed."
https://ca.answers.yahoo.com/question/index?qid=20110521190937AAE9pFP,Should i leave my gambling addcited husband?,0," I have discovered that my husband has had a gambling addiction the entire time i have known him.  I was a single mother of a two year old and had been in a relationship with a person who suffered narsasistic personality disorder.. i suffered physical and mental abuse in that relationship for three years.  I met my husband when my mum was passing away of cancer and he was the loving, caring, smart, handsome man i had never thought i would meet.   After a little lying and cheating early on, that he explained was hesitation in getting together with a single mother, we got serious in our relationship.  We moved in together and after six years we married.  Through this time there were some small lies, lies over trivial things.  When we married i made it clear to him i could not take any lies in the marriage.  While we were engaged we were renting, he lost his second job over lying about money and started up his own business and said it would take time to make a goos living so we moved in with my dad to save money for a house.   
For the following years he never seemed to make enough money.  He is in the medical profession and has the potential to earn good money but we always seemed to struggle with the simplest of things and if i didnt work we never would have made it. 
When we married money went missing from our wishing well and he had me convinced someone must have stolen from it.  He would borrow money out of my account to buy things for his business, but as he always put it back i never really took much notice. 
When i was told i had cancer i really started to wake up and smell the roses.  I worried about what would happen if i had to stop work, we payed no rent but i knew we would struggle.   
Lucky for me i had good news with the cancer, we were all relieved that i had a rare type of tumor that had low malignancy potential, so as long as i stay stress free threre is no reason it should progress to being aggressive as there is very low risk.  We were all relieved... however something was still nagging at me.  I started looking more closely at my husband.. he was looking unhealthy, he was always stressed out, skin problems, couldnt keep weight on, lack of motivation with work and general tardiness.  i kept thinking about how he never seemed to have money, how he had lied to me about things over time.  I spoke to my sisiter and she said the words ""i think he has a gambling problem"".   I honestly didnt want to believe it but i thought she was right. 
I demanded the codes to his bank accounts and relaised there were loans and credit cards and large ammounts of money being withdrawn from his account on certain days.  After being confronted he admitted to having a really bad money problem.  He said he was hopeless at controlling money and would spend money on stupid things, like nights out with the boys and the like.  Something wasnt sitting well with me and i told him we can work through this if confesses everything to me.  I told him due to my health i couldnt take another revelation and he swore black and blue there was nothing else.  He acted so relieved in telling me, started putting on weight and looking less stressed. 
Then he rang me one day with this story of how he went to a farewell for someone at the hospital and put $6 in a pokie machine and one a massive tv. 
I knew something wasnt right.  I sat him down and demanded he told me if he had a gambling problem and he finally admitted he did.  I was floored.  He started off making nothing of it and then admitted it is a massive problem.  Started as not much of a problem and now he sometimes goes from pokie venue to pokie venue wuthdrawing the maximum amount of money you can. 
I have researched this addiction, and i understand it is not about the 'win' it is about chasing the feeling they get from playing.  Seeing how long they can keep that feeling.  He is a complete closet gambler and noone knew, not even his best friends.  He would go alone.   
he is getting professional help, but i had to ask him to leave.  He is such a beautiful person, it breaks my heart he has this problem, but now everything is making sense. 
I just dont know if i can be in a marriage with someone with a problem due to my previuos relationship and worries about my health.  I feel i am being selfish if i dont let him try and get better and give him another chance, but i just dont think i have it in me to be seconf guessing everthing for the rest of my life.  Whay should i do?"
https://answers.yahoo.com/question/index?qid=20060811152848AAqjaqh,How long should i walk and how many days a week in order to lose weight?,0,13
https://answers.yahoo.com/question/index?qid=20090111160824AAJUuro,Should I eat every 2 or 3 hours?,5,37
https://answers.yahoo.com/question/?qid=20081220040505AAMI4Xe,How fast should my internet connection speed be to play PS3 online?,0," I have Sky Broadband Connect which offers me up to 8mb download speeds (but I can tell its not). I went to ""www.speedtest.com"" and it says my download speed is 2930 kb/s and my upload speed is 381 kb/s. It also mentions my ping is on average 52 ms. I also went to the Network and Sharing Center (I'm using Windows Vista) and it says my wireless connection has a speed of 54 mbps. Is this fast enough to play my PS3 games online?"
https://answers.yahoo.com/question/index?qid=20090131135802AAfe1Vy,Should this be capitalized?,0,4
https://answers.yahoo.com/question/?qid=20100422200801AAsWXIB,Should i read The Iliad or The Odyssey first?,0," im 13 and LOVE greek mythology. i can read complex stories, and at the age of 8 i was able to read at a 12th grade level. i know that the iliad was written first, but i hear that the odyssey is easier to understand. should i read the odyssey first because its easier, or the iliad because it was written first? also, should i read the book metamorphoses by ovid? does it have well written greek/roman mythological stories. Thank you in advance"
https://ca.answers.yahoo.com/question/index?qid=20110514200040AA4mgaO,"Should I tell my husband I was molested as a child, or stick to my plan of pretending it never happened?",0," Hello, my name is Mitchel. 

This has been troubling me throughout my 16 year relationship with my husband ((We're 28, been together since 12)) 

There aren't words in any human language that can describe how much I love him. He's the air I breathe and he's the most beautiful human being I could ever hope to wake up next to every morning. 
Now we were both virgins before we got together, and remained that way until we lost it to each other at age 26. ((Yes we took it slow, we have our own personal reasons to do so and it had nothing to do with lack of love or attraction)) 

I've told him EVERYTHING about my life aside from one thing. When I was 6 I was sexually molested by my abusive father ((It was weird because he wasn't gay, he was just so angry at me, he thought it'd teach me a lesson to scar me.))  
The only people who know are myself, my father and my younger brother who accidentally witnessed the action. Not even my mother, who has taken care of my perfectly all my life knows. 

After it happened, I remember promising myself it never happened, and I carried on like it never happened. But now I'm wondering if I should tell him, or stick to my plan and treat it like it never happened.  

I still have nightmares about it at least 2-3 times a week, but I blame it on the fact that I am a child therapist and I hear some traumatizing stories. 

What do you think? I needed to ask more anonymously than asking a family member."
https://ca.answers.yahoo.com/question/index?qid=20101001094949AAkwqgJ,What colour should a puppies tongue and gums be?,0,8
https://answers.yahoo.com/question/index?qid=20081125141731AAHFPpG,What Should A 11 year old girl ask for christmas?,1,18
https://ph.answers.yahoo.com/question/index?qid=20111004171047AAPGfQg,Should i keep my Leopard Geckos heat lamp on all day and night?,0, I just got my gecko and he is a Leopard Gecko and i do not know if i should keep my Heat lamp on all day and night or what please tell me if you know because i have to go to school and i need to know fast please if you know it would be nice thank you! I also have a heat rock too but i always keep it on? i don't know what to do!
