Link,Question,Follows,Answers
https://answers.yahoo.com/question/index?qid=20160628172935AA7RwbN,I am trying to raise zebra longwings.I have their host plant may pop passion vine and I obtained about 15 butterflies from a breeder.?,0,-1
https://answers.yahoo.com/question/index?qid=20160628232731AAcoksx,Can I put down a transfer college to my FAFSA? (Please answer asap)?,0,2
https://answers.yahoo.com/question/index?qid=20160628173321AA5wFdb,I just love to take a big bite and eat slowley at a peice of cheese.know what im sayin vegans?,0,2
https://answers.yahoo.com/question/index?qid=20160628211839AA6Xj2y,Dimmer with ceiling fan?,0,-1
https://answers.yahoo.com/question/index?qid=20160628200301AAGomtg,What other major can you recommend for me?,0,4
https://answers.yahoo.com/question/index?qid=20160628222231AAsfUhH,Good Unique Names For Girl. These Are My Choices?,0,-1
https://answers.yahoo.com/question/index?qid=20160628191317AAqVrW6,(Texas) Do you need car insurance/registration to renew your license?,0,2
https://answers.yahoo.com/question/index?qid=20160628220938AAcm8i0,Beginner bass confusion?,0,1
https://answers.yahoo.com/question/index?qid=20160628211018AAsddic,I am 22 years old and feel lonely!?,0,2
https://answers.yahoo.com/question/index?qid=20160628151358AAdmIkc,What has been Hillary Clintons shining moments/legacy since she was elected as a U.S.Senator in 2000?,0,1
https://answers.yahoo.com/question/index?qid=20160628150704AAJQcBV,Should the states that voted overwhelmingly for Trump be given fewer delegates next time?,0,5
https://uk.answers.yahoo.com/question/index?qid=20160512073813AAhHv1O,Should a surgeon who makes a big mistake but then lies through his teeth about it be allowed to practice in Britain?,0,3
https://uk.answers.yahoo.com/question/index?qid=20160526052936AAf2Z70,Should left wingers be tried in a Shariah court?,1,2
https://answers.yahoo.com/question/index?qid=20160628204607AAbguBU,Should pitbulls be banned ?,0,15
https://uk.answers.yahoo.com/question/index?qid=20160509081740AAVPeqL,Should I make a welcome video for my youtube channel?,0,4
https://answers.yahoo.com/question/index?qid=20160628195340AAr9gLu,Should I start studying to become a surgeon?,0,5
https://uk.answers.yahoo.com/question/index?qid=20160606081620AAdJyvX,Should the police service reflect the community in big cities like London and Birmingham to avoid racial discrimination?,1,9
https://uk.answers.yahoo.com/question/index?qid=20160618161217AAXyPFX,My wife doesn't get on with my son. What should I do?,3,19
https://uk.answers.yahoo.com/question/index?qid=20160605162325AAmMddr,Should I put my little foal in a stable with his mum for his first time or put her next to him?,1,7
